time,temperature
976,6.587920189
977,6.718262672
978,6.736883163
979,6.718262672
980,6.736883163
981,6.755503654
982,6.699642181
983,6.885847092
984,6.792744637
985,6.923088074
986,6.867226601
987,6.960329056
988,6.885847092
989,7.016190529
990,6.997570038
991,7.072052002
992,7.016190529
993,7.072052002
994,7.109292984
995,7.016190529
996,7.146533966
997,7.127913475
998,7.276877403
999,7.276877403
1000,7.202395439
1001,7.332738876
1002,7.314118385
1003,7.388599396
1004,7.425840378
1005,7.481701851
1006,7.46308136
1007,7.556183815
1008,7.574804306
1009,7.64928627
1010,7.612045288
1011,7.686527252
1012,7.612045288
1013,7.593424797
1014,7.593424797
1015,7.83549118
1016,7.83549118
1017,7.816870689
1018,7.872732162
1019,7.872732162
1020,8.0030756
1021,7.947214127
1022,7.947214127
1023,8.021696091
1024,8.189279556
1025,8.207900047
1026,8.133418083
1027,8.226520538
1028,8.375484467
1029,8.189279556
1030,8.375484467
1031,8.301002502
1032,8.356863976
1033,8.487207413
1034,8.449966431
1035,8.487207413
1036,8.524448395
1037,8.580309868
1038,8.673412323
1039,8.636171341
1040,8.729273796
1041,8.729273796
1042,8.654791832
1043,8.729273796
1044,8.785135269
1045,8.822375298
1046,8.785135269
1047,8.822375298
1048,8.915477753
1049,8.971339226
1050,8.934098244
1051,8.989959717
1052,8.934098244
1053,9.008580208
1054,9.064441681
1055,9.083062172
1056,9.176164627
1057,9.064441681
1058,9.325128555
1059,9.138923645
1060,9.157544136
1061,9.157544136
1062,9.213405609
1063,9.213405609
1064,9.213405609
1065,9.287887573
1066,9.269267082
1067,9.399610519
1068,9.306508064
1069,9.306508064
1070,9.399610519
1071,9.41823101
1072,9.436851501
1073,9.529953957
1074,9.548573494
1075,9.623055458
1076,9.567193985
1077,9.66029644
1078,9.716157913
1079,9.716157913
1080,9.678916931
1081,9.827880859
1082,9.790639877
1083,9.790639877
1084,9.790639877
1085,9.827880859
1086,9.84650135
1087,9.772019386
1088,9.772019386
1089,9.902362823
1090,9.902362823
1091,9.865121841
1092,9.84650135
1093,9.883742332
1094,9.734778404
