time,pressure
541,323.7094727
542,322.6855469
543,321.7336426
544,320.6489258
545,319.5842285
546,318.4572754
547,317.1618652
548,315.8391113
549,314.762207
550,313.6352539
551,312.5380859
552,311.5646973
553,310.4577637
554,309.4152832
555,308.4287109
556,307.2226563
557,306.1164551
558,305.0375977
559,303.9291992
560,302.9746094
561,301.9663086
562,300.949707
563,299.7495117
564,298.6181641
565,297.1901855
566,295.826416
567,294.5087891
568,293.2875977
569,292.1877441
570,291.0776367
571,289.9335938
572,288.6804199
573,287.0751953
574,285.7990723
575,284.7211914
576,283.7314453
577,282.8381348
578,281.7597656
579,280.6672363
580,279.5078125
581,278.2983398
582,277.2016602
583,276.026123
584,275.0402832
585,273.9648438
586,272.8908691
587,271.8046875
588,270.800293
589,269.8601074
590,268.824707
591,267.829834
592,266.7873535
593,265.8596191
594,264.9338379
595,263.9782715
596,262.9882813
597,262.0195313
598,261.098877
599,260.2104492
600,259.3151855
601,258.4128418
602,257.4638672
603,256.394043
604,255.505127
605,254.6508789
606,253.7299805
607,252.8012695
608,251.9228516
609,251.0241699
610,250.0930176
611,249.1530762
612,248.2172852
613,247.3378906
614,246.4082031
615,245.5539551
616,244.6083984
617,243.6972656
618,242.6726074
619,241.8918457
620,241.0424805
621,240.1784668
622,239.3120117
623,238.4733887
624,237.6914063
625,236.7258301
626,235.8952637
627,235.0292969
628,234.0847168
629,233.1945801
630,232.3828125
631,231.6335449
632,230.859375
633,230.0571289
634,229.3188477
635,228.6142578
636,227.7609863
637,226.9873047
638,226.2072754
639,225.3513184
640,224.5742188
641,223.7045898
642,222.9780273
643,222.0537109
644,221.157959
645,220.2902832
646,219.5087891
647,218.5717773
648,217.7470703
649,216.8134766
650,215.8803711
651,215.03125
652,214.1264648
653,213.2280273
654,212.4440918
655,211.560791
656,210.7324219
657,209.9453125
658,209.0644531
659,208.2624512
660,207.4204102
661,206.5571289
662,205.6809082
663,204.861084
664,204.0766602
665,203.3620605
666,202.5395508
667,201.7375488
668,200.9465332
669,199.9802246
670,199.2258301
671,198.2719727
672,197.3254395
673,196.5883789
674,195.7902832
675,195.0378418
676,194.2597656
677,193.4785156
678,192.7236328
679,192.0576172
680,191.2419434
681,190.4233398
682,189.7043457
683,188.8684082
684,188.0488281
685,187.2805176
686,186.5280762
687,185.6672363
688,184.9321289
689,184.1340332
690,183.3476563
691,182.5407715
692,181.8503418
693,181.1237793
694,180.3300781
695,179.5939941
696,178.8430176
697,178.1479492
698,177.385498
699,176.6950684
700,175.9460449
701,175.263916
702,174.4135742
703,173.7797852
704,173.0615234
705,172.2990723
706,171.5087891
707,170.7692871
708,170.034668
709,169.3271484
710,168.6064453
711,167.8842773
712,167.1647949
713,166.3266602
714,165.6247559
715,164.9211426
716,164.0842285
717,163.2412109
718,162.4882813
719,161.7033691
720,160.9587402
721,160.2285156
722,159.5463867
723,158.8408203
724,158.0622559
725,157.3354492
726,156.6352539
727,155.9846191
728,155.2729492
729,154.5864258
730,153.9858398
731,153.4038086
732,152.7614746
733,152.161377
734,151.5727539
735,150.9802246
736,150.3950195
737,149.8483887
738,149.2001953
739,148.6181641
740,147.9931641
741,147.4375
742,146.8120117
